Position,Artist Name,Song Name,Days,Top 10 (xTimes),Peak Position,Peak Position (xTimes),Peak Streams,Total Streams
3356,Adele ,All Night Parking,13,1.0,10,0,1432666,6985895
3357,Mabel ,Mad Love,28,0.0,92,0,348127,6984545
3358,Polo G ,GNF (OKOKOK),24,0.0,16,0,607909,6974871
3359,"Tyler, The Creator ","GONE, GONE / THANK YOU",15,0.0,12,0,1213023,6969054
3360,Yeat ,Rich Minion,20,0.0,22,0,592989,6965369
3361,2 Chainz ,Whip,19,0.0,18,0,860566,6962085
3362,Harry Styles ,"Sunflower, Vol. 6",16,0.0,15,0,1079377,6948043
3363,NF ,CLOUDS,23,0.0,13,0,588698,6947881
3364,Loote ,High Without Your Love,39,0.0,112,0,216702,6947609
3365,J. Cole ,Snow On Tha Bluff,16,3.0,1,(x1),1469240,6947322
3366,Chance the Rapper ,Smoke Break,44,0.0,120,0,217952,6945155
3367,Bad Bunny ,Soliá,16,0.0,23,0,852194,6944359
3368,Monsieur Periné ,Nuestra Canción,24,0.0,42,0,404745,6938660
3369,BTS ,ON,17,0.0,25,0,654623,6932738
3370,Mac Miller ,Woods,13,0.0,16,0,1383227,6930615
3371,Megan Thee Stallion ,Don’t Stop,25,0.0,43,0,563393,6906809
3372,Lil Yachty ,Yacht Club,23,0.0,58,0,507159,6905802
3373,Eminem ,Em Calls Paul  Skit,13,0.0,14,0,1267119,6903697
3374,BlocBoy JB ,Rover 2.0,28,0.0,76,0,365939,6898786
3375,Morgan Wallen ,Tennessee Fan,13,0.0,11,0,1304477,6897594
3376,Drake ,Jungle,49,0.0,23,0,293985,6895499
3377,Kanye West ,New Again,12,0.0,21,0,1322284,6891489
3378,Lynyrd Skynyrd ,Sweet Home Alabama,27,0.0,32,0,442939,6886801
3379,Pusha T ,If You Know You Know,20,0.0,17,0,840937,6884959
3380,Post Malone ,Insane,15,0.0,13,0,1059392,6883955
3381,Khalid ,Self,19,0.0,40,0,715230,6877607
3382,Carrie Underwood ,Something in the Water,106,0.0,90,0,108504,6872633
3383,YNW Melly ,Mind of Melvin,23,0.0,48,0,409577,6857077
3384,Migos ,Supastars,18,1.0,6,0,1278764,6849599
3385,Billie Eilish ,Lo Vas A Olvidar,17,1.0,3,(x1),913584,6841727
3386,Rihanna ,Consideration,50,0.0,60,0,219970,6839671
3387,Drake ,Time Flies,14,0.0,11,0,1519691,6838861
3388,Taylor Swift ,Soon You’ll Get Better,14,0.0,14,0,1323914,6833678
3389,Lil Skies ,Bad Girls,20,0.0,35,0,678175,6832950
3390,BLACKPINK ,Lovesick Girls,18,0.0,24,0,789737,6821378
3391,Ab,Soul  Bloody Waters,21,0.0,37,0,586151,6818033
3392,Kodak Black ,Take One,17,0.0,32,0,587513,6813799
3393,R3HAB ,All Around The World (La La La),29,0.0,132,0,283461,6813283
3394,Taylor Swift ,The Last Time,13,0.0,16,0,1454087,6806875
3395,Ed Sheeran ,Best Part of Me,18,0.0,25,0,680848,6791414
3396,Lil Uzi Vert ,Secure The Bag,13,0.0,19,0,1235135,6788157
3397,Pharrell Williams ,Sangria Wine,22,0.0,49,0,510266,6787476
3398,Thomas Rhett ,Beer Can’t Fix,29,0.0,102,0,289629,6783357
3399,Harry Styles ,She,14,0.0,11,0,1149268,6777158
3400,Taylor Swift ,Blank Space,28,0.0,82,0,357339,6772902
3401,Taylor Swift ,Stay Stay Stay (Taylor's Version),13,0.0,14,0,1525721,6771360
3402,Shawn Mendes ,Summer of Love (Shawn Mendes & Tainy),21,0.0,31,0,629930,6769563
3403,Madison Beer ,Reckless,28,0.0,106,0,272408,6766983
3404,Calvin Harris ,Stay With Me,22,0.0,24,0,541262,6764121
3405,Disney Characters ,This Is Halloween,13,1.0,7,0,1421036,6761861
3406,Maroon 5 ,Help Me Out,27,0.0,69,0,389509,6755839
3407,Quavo ,LOSE IT,21,0.0,36,0,692141,6753152
3408,Twenty One Pilots ,Chlorine,22,0.0,45,0,642510,6745948
3409,CORPSE ,HOT DEMON B!TCHES NEAR U ! ! !,21,0.0,54,0,535262,6743949
3410,A Boogie Wit da Hoodie ,Beast Mode,32,0.0,97,0,288526,6725402
3411,SALES ,Pope Is a Rockstar,26,0.0,96,0,351475,6723372
3412,Kendrick Lamar ,Auntie Diaries,9,0.0,14,0,2118488,6720794
3413,Megan Thee Stallion ,B.I.T.C.H.,19,0.0,24,0,718139,6719384
3414,Jack Harlow ,Face Of My City,22,0.0,58,0,668052,6716321
3415,Lil Baby ,Heyy,19,0.0,15,0,804305,6707783
3416,Ariana Grande ,west side,16,0.0,12,0,1350259,6706312
3417,Chris Janson ,Buy Me a Boat,76,0.0,124,0,102683,6704670
3418,Big Sean ,Living Single,35,0.0,82,0,262295,6704636
3419,Taylor Swift ,Babe (Taylor's Version) (From The Vault),13,0.0,21,0,1354874,6695608
3420,Bebe Rexha ,I'm Gonna Show You Crazy,71,0.0,46,0,155657,6695475
3421,Justin Bieber ,Trust,37,0.0,40,0,373744,6695411
3422,Lil Wayne ,Hittas,12,0.0,14,0,1715308,6691409
3423,Tyga ,Girls Have Fun,24,0.0,42,0,562355,6690813
3424,Fat Joe ,All The Way Up (Remix),48,0.0,122,0,169469,6683834
3425,Nicki Minaj ,Yikes,19,0.0,34,0,584109,6680369
3426,Lil Baby ,Detox,20,0.0,21,0,658631,6667618
3427,Drake ,Desires,14,1.0,10,0,1623719,6659201
3428,Travis Scott ,COFFEE BEAN,14,0.0,20,0,1393730,6657753
3429,J Balvin ,No Es Justo,31,0.0,150,0,248954,6657065
3430,Miley Cyrus ,Angels Like You,21,0.0,48,0,489423,6655190
3431,Kendrick Lamar ,Mirror,11,0.0,18,0,1764818,6650338
3432,Russ ,HANDSOMER,27,0.0,119,0,274173,6650180
3433,KIDS SEE GHOSTS ,Freeee (Ghost Town Pt. 2),11,1.0,9,0,1117323,6647333
3434,Dreamville ,Sunset,20,0.0,28,0,589376,6638688
3435,Lil Wayne ,Believe Me,94,0.0,43,0,125989,6626497
3436,XXXTENTACION ,before I close my eyes,21,0.0,39,0,659654,6624039
3437,Twenty One Pilots ,Cancer,38,0.0,62,0,313968,6618097
3438,Ed Sheeran ,Overpass Graffiti,15,1.0,9,0,860507,6613651
3439,Kanye West ,Donda,11,0.0,16,0,1505125,6612289
3440,Lil Nas X ,C7osure (You Like),18,0.0,42,0,476010,6611965
3441,Brett Eldredge ,Lose My Mind,74,0.0,123,0,107946,6599148
3442,Lil Tjay ,Hold On,28,0.0,61,0,405265,6594692
3443,Taylor Swift ,Everything Has Changed,14,0.0,15,0,1481683,6588759
3444,American Authors ,Best Day Of My Life,88,0.0,31,0,146197,6587611
3445,Khalid ,Bad Luck,17,0.0,21,0,986069,6587095
3446,Thomas Gold ,Magic,37,0.0,152,0,207569,6585848
3447,Katy Perry ,Rise,42,0.0,97,0,222092,6577410
3448,Mike WiLL Made,It  Nothing Is Promised,53,0.0,127,0,161585,6576150
3449,Dillon Francis ,Coming Over,53,0.0,52,0,181256,6566791
3450,Beyoncé ,SUMMER RENAISSANCE,14,0.0,14,0,999922,6565029
3451,Bailey Zimmerman ,Where It Ends,20,0.0,24,0,579579,6558534
3452,ScHoolboy Q ,THat Part  Black Hippy Remix,51,0.0,145,0,146128,6556937
3453,Miley Cyrus ,Plastic Hearts,24,0.0,92,0,349811,6555700
3454,Rosa Walton ,I Really Want to Stay at Your House,23,0.0,71,0,330238,6538766
3455,Billie Eilish ,Billie Bossa Nova,16,1.0,9,0,948543,6534233
3456,Waka Flocka Flame ,No Hands,32,0.0,146,0,262627,6533539
3457,Why Don't We ,Big Plans,29,0.0,168,0,247481,6531972
3458,Adele ,Woman Like Me,12,0.0,11,0,1422662,6525979
3459,Meek Mill ,Blue Notes 2,22,0.0,50,0,591415,6522477
3460,Baby Keem ,durag activity,19,0.0,12,0,803534,6520639
3461,Machine Gun Kelly ,make up sex,19,1.0,2,(x1),768387,6517102
3462,Troye Sivan ,WILD,58,0.0,56,0,178460,6516852
3463,Russell Dickerson ,She Likes It,27,0.0,120,0,279707,6510051
3464,Frank Ocean ,In My Room,20,0.0,34,0,531222,6501289
3465,Lil Wayne ,Let It All Work Out,14,0.0,27,0,1145876,6492662
3466,Stan Kenton ,Lonesome Train,18,0.0,61,0,456779,6491218
3467,PARTYNEXTDOOR ,Break from Toronto,25,0.0,160,0,275277,6488141
3468,KIDS SEE GHOSTS ,Cudi Montage,13,0.0,21,0,873982,6483502
3469,Trippie Redd ,The Grinch,25,0.0,65,0,447861,6473354
3470,Julia Michaels ,Uh Huh,34,0.0,93,0,291256,6458831
3471,Sech ,Relación  Remix,30,0.0,124,0,252745,6457181
3472,Money Man ,24,26,0.0,103,0,305320,6454983
3473,Rita Ora ,Girls,24,0.0,54,0,552382,6451140
3474,J. Cole ,everybody dies,31,0.0,36,0,448420,6442993
3475,Billie Eilish ,Oxytocin,15,1.0,8,0,965078,6433796
3476,Ariana Grande ,love language,15,0.0,13,0,1336669,6426584
3477,Khalid ,Right Back,17,0.0,32,0,847871,6425188
3478,Trippie Redd ,Sleepy Hollow,22,0.0,28,0,525865,6423238
3479,lovelytheband ,broken,29,0.0,144,0,247894,6421237
3480,KIDS SEE GHOSTS ,Fire,12,0.0,14,0,981233,6417561
3481,Mac Miller ,Dang!,38,0.0,57,0,332519,6414655
3482,Khalid ,Vertigo,14,1.0,10,0,1184701,6407208
3483,Taylor Swift ,Forever Winter (Taylor's Version) (From The Vault),13,0.0,26,0,1177011,6405264
3484,Lil Wayne ,Open Safe,12,0.0,15,0,1537167,6404831
3485,Bazzi ,No Way!,23,0.0,35,0,518502,6396962
3486,DJ Drama ,Wishing,49,0.0,137,0,150385,6391988
3487,Demi Lovato ,Sober,23,0.0,38,0,538769,6388740
3488,Saweetie ,Tap In,22,0.0,25,0,627270,6386527
3489,Huncho Jack ,Eye 2 Eye,20,1.0,4,0,1151239,6386506
3490,The Lumineers ,Ho Hey,102,0.0,118,0,229975,6386180
3491,Kendrick Lamar ,Savior  Interlude,9,0.0,16,0,2018189,6380466
3492,The Weeknd ,I Heard You’re Married,12,0.0,11,0,1248711,6362525
3493,Adele ,Hold On,12,0.0,12,0,1368804,6361232
3494,Harry Styles ,To Be So Lonely,13,0.0,12,0,1141216,6355344
3495,Mac Miller ,Everybody,12,0.0,14,0,1413408,6352584
3496,Future ,Thought It Was a Drought,66,0.0,62,0,141850,6341927
3497,Juice WRLD ,Anxiety  Intro,11,0.0,11,0,2265094,6337434
3498,Billie Eilish ,Getting Older,15,1.0,6,0,1047925,6337096
3499,Chance the Rapper ,Mixtape,36,0.0,77,0,256868,6327740
3500,Mac Miller ,Cinderella,41,0.0,91,0,296266,6322566
3501,Missy Elliott ,WTF (Where They From),53,0.0,58,0,317253,6320355
3502,Yeat ,Out thë way,20,0.0,59,0,414374,6317439
3503,Lil Nas X ,DEAD RIGHT NOW,14,0.0,11,0,1183514,6307634
3504,Kanye West ,Come to Life,12,0.0,23,0,1156493,6304916
3505,Drake ,30 for 30 Freestyle,44,0.0,46,0,245066,6299342
3506,Justin Bieber ,2 Much,15,1.0,5,0,1232023,6293187
3507,Bad Bunny ,25/8,16,0.0,40,0,673546,6285234
3508,HARDY ,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",29,0.0,143,0,263965,6283970
3509,Post Malone ,Congratulations  Remix,30,0.0,90,0,267572,6281504
3510,Fetty Wap ,679,56,0.0,65,0,203291,6267447
3511,Grey ,I Miss You,32,0.0,131,0,232188,6264590
3512,Fleetwood Mac ,The Chain  2004 Remaster,27,0.0,82,0,311232,6263753
3513,XXXTENTACION ,what are you so afraid of,13,0.0,13,0,1325891,6260266
3514,Post Malone ,I Cannot Be (A Sadder Song),13,1.0,10,0,1196999,6254244
3515,Beyoncé ,VIRGO'S GROOVE,15,0.0,13,0,1045597,6252395
3516,Taylor Swift ,Holy Ground (Taylor's Version),12,0.0,19,0,1382906,6249994
3517,Alessia Cara ,Out Of Love,21,0.0,78,0,342827,6233301
3518,Kendrick Lamar ,untitled 07 | 2014  2016,27,0.0,11,0,733030,6222163
3519,Mike Posner ,Please Don't Go,25,0.0,93,0,298199,6217971
3520,Joji ,YUKON (INTERLUDE),15,0.0,23,0,704273,6214933
3521,Lauv ,Modern Loneliness,21,0.0,75,0,430775,6206504
3522,Taylor Swift ,Daylight,14,0.0,22,0,1020714,6201194
3523,Tony Bennett ,O Christmas Tree,16,0.0,60,0,678152,6194394
3524,Tyga ,VACATION,14,1.0,7,0,730380,6189355
3525,Yo Gotti ,Law,48,0.0,137,0,145443,6187717
3526,A Boogie Wit da Hoodie ,Me and My Guitar,20,0.0,53,0,589849,6182324
3527,Ariana Grande ,Bad To You,17,0.0,23,0,691732,6174911
3528,Migos ,Give No Fxk,13,1.0,6,0,1322389,6148659
3529,"Tyler, The Creator ",OKRA,21,0.0,54,0,458497,6147778
3530,Meghan Trainor ,I'll Be Home,21,0.0,78,0,541670,6143435
3531,Justin Bieber ,Deserve You,15,1.0,6,0,1137169,6135863
3532,Drake ,Flight's Booked,10,0.0,11,0,1832009,6133830
3533,Kanye West ,Lord I Need You,12,0.0,22,0,1180806,6131048
3534,"Tyler, The Creator ",RUNITUP,13,0.0,13,0,1451079,6129691
3535,Logic ,State Of Emergency,15,0.0,23,0,965420,6127724
3536,Shakira ,Clandestino,28,0.0,126,0,284121,6107582
3537,Future ,I'M DAT N****,11,4.0,5,0,1468597,6106715
3538,ROSALÍA ,LA FAMA,19,0.0,60,0,595802,6103557
3539,DJ Khaled ,Celebrate,14,0.0,26,0,805870,6100149
3540,Kanye West ,Jesus Is Lord,11,0.0,15,0,1327680,6076336
3541,Young Dolph ,1 Scale,24,0.0,32,0,510862,6067976
3542,XXXTENTACION ,Dead Inside (Interlude),21,0.0,58,0,486744,6064315
3543,Morgan Wallen ,Whiskey’d My Way,19,0.0,23,0,669283,6062385
3544,Metro Boomin ,No More,14,0.0,21,0,821151,6062115
3545,AC/DC ,Highway to Hell,19,0.0,29,0,568792,6056885
3546,The Script ,Superheroes,82,0.0,49,0,130024,6053850
3547,Ty Dolla $ign ,Ego Death,22,0.0,47,0,508746,6046708
3548,Post Malone ,Reputation,12,1.0,5,0,1337319,6034820
3549,Morgan Wallen ,Your Bartender,19,0.0,28,0,639315,6031746
3550,Lil Yachty ,Who Want The Smoke?,22,0.0,74,0,396103,6028079
3551,Luke Bryan ,Play It Again,100,0.0,99,0,81204,6023702
3552,Bo Burnham ,Goodbye,25,0.0,104,0,345145,6018930
3553,Kacey Musgraves ,breadwinner,23,0.0,68,0,414186,6017410
3554,Justin Bieber ,Die For You,15,0.0,14,0,1012774,6015346
3555,Drake ,Company,39,0.0,25,0,304996,6003757
3556,Justin Bieber ,All In It,35,0.0,48,0,350540,6000754
3557,YG ,Stop Snitchin,23,0.0,64,0,440072,5995743
3558,YG ,Scared Money,23,0.0,72,0,340053,5987662
3559,Madison Beer ,Home With You,27,0.0,125,0,272440,5980508
3560,"Tyler, The Creator ",MASSA,12,0.0,11,0,1545101,5979822
3561,Gorillaz ,New Gold,16,0.0,14,0,712415,5968030
3562,Frank Ocean ,Ivy,37,0.0,85,0,254698,5964914
3563,Mike WiLL Made,It  Aries (YuGo),26,0.0,133,0,275068,5964795
3564,Ariana Grande ,test drive,14,2.0,5,0,935109,5962784
3565,Childish Gambino ,Sober,83,0.0,42,0,142368,5962096
3566,Paramore ,Hard Times,25,0.0,54,0,446681,5954977
3567,Regard ,You,24,0.0,65,0,370069,5943039
3568,Zacari ,Redemption,20,0.0,49,0,468412,5942047
3569,Trippie Redd ,Weeeeee,21,0.0,40,0,539594,5938848
3570,Machine Gun Kelly ,love race,18,0.0,20,0,683389,5932469
3571,YoungBoy Never Broke Again ,No Smoke,30,0.0,104,0,263456,5929695
3572,Future ,Feed Me Dope,17,0.0,34,0,546073,5928699
3573,Bad Bunny ,A Tu Merced,15,0.0,39,0,679037,5918004
3574,One Direction ,What a Feeling,30,0.0,25,0,476488,5916464
3575,Fitz and The Tantrums ,Out of My League,27,0.0,179,0,233038,5910355
3576,A$AP Rocky ,Cocky,21,0.0,53,0,505254,5907144
3577,Moneybagg Yo ,Shottas (Lala),21,0.0,36,0,447846,5906644
3578,Sofía Reyes ,R.I.P.,15,0.0,55,0,448993,5906535
3579,ROSÉ ,On The Ground,21,0.0,43,0,413154,5904499
3580,Sia ,Santa's Coming For Us,16,0.0,84,0,556922,5901045
3581,Jess Glynne ,I'll Be There,25,0.0,108,0,303189,5898471
3582,Rainbow Kitten Surprise ,It's Called: Freefall,24,0.0,78,0,273917,5896253
3583,Leona Lewis ,One More Sleep,16,0.0,90,0,611545,5883283
3584,The Weeknd ,Starry Eyes,12,0.0,12,0,1204379,5839614
3585,Kygo ,Think About You,15,0.0,57,0,499716,5838909
3586,The Weeknd ,Angel,40,0.0,33,0,294896,5836952
3587,Morgan Wallen ,Outlaw,18,0.0,21,0,684827,5831594
3588,Ed Sheeran ,Merry Christmas,14,0.0,59,0,853346,5828241
3589,Frank Ocean ,DHL,15,1.0,4,0,900608,5826875
3590,Meek Mill ,Froze,34,0.0,63,0,243933,5822747
3591,Kendrick Lamar ,untitled 03 | 05.28.2013.,23,1.0,5,0,914049,5816603
3592,Bring Me The Horizon ,Can You Feel My Heart,24,0.0,91,0,274730,5816221
3593,The Weeknd ,Dawn FM,10,1.0,3,(x1),1749943,5795533
3594,2 Chainz ,PROUD,24,0.0,81,0,377892,5795452
3595,Taylor Swift ,Only The Young  Featured in Miss Americana,15,0.0,50,0,488959,5795326
3596,Drake ,Summers Over Interlude,32,0.0,68,0,285542,5792931
3597,Darlene Love ,Winter Wonderland,14,0.0,65,0,883339,5786558
3598,Bryson Tiller ,Let Em' Know,54,0.0,134,0,122890,5785526
3599,Troye Sivan ,Dance To This,21,0.0,51,0,491479,5783943
3600,Polo G ,Black Hearted,14,0.0,14,0,1008735,5783782
3601,Kanye West ,Highlights,29,0.0,48,0,323918,5783610
3602,Lil Wayne ,Took His Time,10,0.0,16,0,1497655,5779819
3603,Bad Bunny ,YO VISTO ASÍ,13,1.0,9,0,889672,5778148
3604,The Weeknd ,Repeat After Me (Interlude),13,0.0,14,0,1192133,5777780
3605,Bad Bunny ,La Zona,14,0.0,29,0,775612,5774822
3606,Mustard ,Want Her,32,0.0,143,0,197374,5771682
3607,Eminem ,Leaving Heaven,12,0.0,22,0,1124474,5770379
3608,Beyoncé ,PLASTIC OFF THE SOFA,14,0.0,12,0,1047494,5766274
3609,Lil Yachty ,NBAYOUNGBOAT,21,0.0,52,0,526375,5762912
3610,Lorde ,Homemade Dynamite  REMIX,24,0.0,88,0,299635,5761830
3611,Lil Baby ,Voice of the Heroes,15,0.0,16,0,946378,5756863
3612,XXXTENTACION ,Train food,10,1.0,5,0,1618768,5756320
3613,Marshmello ,Rescue Me,22,0.0,65,0,392728,5751097
3614,"Tyler, The Creator ",SIR BAUDELAIRE,10,1.0,5,0,1866917,5750887
3615,Thurl Ravenscroft ,"You're A Mean One, Mr. Grinch",13,0.0,60,0,1037679,5749617
3616,Gene Autry ,Rudolph the RedNosed Reindeer,16,0.0,81,0,803536,5743205
3617,Zach Bryan ,From Austin,22,0.0,38,0,405509,5739093
3618,Glades ,Do Right,28,0.0,138,0,236921,5738391
3619,BANNERS ,Start A Riot,50,0.0,112,0,138503,5732553
3620,Charli XCX ,Break the Rules,73,0.0,62,0,113347,5725417
3621,Taylor Swift ,Begin Again (Taylor's Version),11,0.0,22,0,1314068,5724612
3622,Adele ,Love Is A Game,12,0.0,13,0,1174381,5720526
3623,Andy Williams ,Sleigh Ride,16,0.0,50,0,845407,5709972
3624,Cam ,Burning House,62,0.0,129,0,110131,5705652
3625,Big Sean ,Pull Up N Wreck (& Metro Boomin),19,0.0,41,0,525694,5704578
3626,Logic ,One Day,14,0.0,20,0,741164,5704234
3627,Young Thug ,Millions,20,0.0,76,0,425493,5699964
3628,NLE Choppa ,Shotta Flow 3,24,0.0,85,0,298785,5697406
3629,G,Eazy  Moana,24,0.0,95,0,317064,5696559
3630,22 Savage ,The Race,16,0.0,50,0,396989,5691910
3631,BTS ,ON (Feat. Sia),14,0.0,21,0,754372,5690660
3632,Taylor Swift ,It’s Nice To Have A Friend,13,0.0,23,0,1016790,5686995
3633,Juice WRLD ,HeMotions,15,0.0,19,0,907039,5679588
3634,Drake ,Omertà,12,1.0,3,(x1),1230180,5679485
3635,Mac Miller ,Surf,12,0.0,24,0,1116570,5675629
3636,Future ,KEEP IT BURNIN,11,2.0,6,0,1445587,5673973
3637,Lil Uzi Vert ,For Real,19,0.0,19,0,821064,5672275
3638,Gryffin ,Whole Heart,40,0.0,107,0,197926,5671321
3639,Renée Elise Goldsberry ,Satisfied,21,0.0,79,0,331202,5669593
3640,Julia Michaels ,What A Time,23,0.0,106,0,347557,5669256
3641,$uicideboy$ ,Matte Black,19,0.0,39,0,537913,5657039
3642,Russ ,The Flute Song,21,0.0,66,0,445039,5644825
3643,Idina Menzel ,Show Yourself,19,0.0,66,0,386626,5643655
3644,Alan Walker ,All Falls Down,28,0.0,138,0,224505,5642549
3645,Lil Yachty ,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",19,0.0,22,0,713305,5640541
3646,$NOT ,Doja,15,0.0,31,0,494927,5633307
3647,Sheff G ,On Go,24,0.0,115,0,251683,5627997
3648,DJ Khaled ,BEAUTIFUL,14,0.0,13,0,788486,5625094
3649,Migos ,White Sand,14,1.0,9,0,1093347,5625006
3650,Billie Eilish ,I Didn't Change My Number,14,1.0,10,0,936730,5624150
3651,DJ Khaled ,Don't Quit,15,0.0,19,0,705457,5620967
3652,Tate McRae ,feel like shit,20,0.0,62,0,527300,5620909
3653,Jason Derulo ,Talk Dirty,88,0.0,98,0,81073,5617868
3654,J Balvin ,Ginza,58,0.0,93,0,146696,5616098
3655,Juice WRLD ,You Wouldn't Understand,12,1.0,6,0,1218075,5614077
3656,Future ,Jet Lag,14,0.0,14,0,1053615,5613976
3657,Bing Crosby ,What Child Is This?/The Holly And The Ivy,13,0.0,60,0,686457,5611498
3658,Eminem ,No Regrets,13,0.0,33,0,909762,5604756
3659,Quavo ,FLIP THE SWITCH,14,0.0,12,0,1098540,5593989
3660,Linkin Park ,In The End,19,1.0,8,0,931080,5582847
3661,Alesso ,Heroes (we could be),48,0.0,27,0,181881,5581241
3662,Meek Mill ,Whatever You Need,29,0.0,88,0,300085,5573859
3663,Drake ,Wednesday Night Interlude,38,0.0,23,0,313337,5569571
3664,Matt Terry ,Sucker for You,26,0.0,105,0,274989,5568177
3665,R3HAB ,I Just Can't,28,0.0,118,0,247781,5565868
3666,ScHoolboy Q ,Man Of The Year,93,0.0,124,0,83526,5554566
3667,Lil Nas X ,TALES OF DOMINICA,13,0.0,19,0,923575,5550039
3668,DJ Luian ,Verte Ir,26,0.0,174,0,260229,5547596
3669,DLOW ,Bet You Can't Do It Like Me,47,0.0,97,0,152348,5545139
3670,Swae Lee ,Someone Said,17,0.0,54,0,541003,5538568
3671,ZAYN ,iT's YoU,37,0.0,50,0,276143,5534512
3672,Kanye West ,Black Skinhead,94,0.0,134,0,71804,5526688
3673,The xx ,On Hold,26,0.0,50,0,338335,5521231
3674,One Direction ,Olivia,27,0.0,27,0,378850,5510342
3675,Flo Rida ,Dirty Mind,47,0.0,105,0,150505,5504936
3676,Kane Brown ,Thank God,18,0.0,38,0,499845,5503408
3677,Kenny Chesney ,Get Along,25,0.0,90,0,311695,5494242
3678,Kendrick Lamar ,Mother I Sober,8,0.0,17,0,1783894,5486190
3679,Beyoncé ,Flawless Remix,85,0.0,89,0,96244,5482303
3680,Eminem ,In Too Deep,11,0.0,19,0,1235069,5476323
3681,Joji ,TEST DRIVE,22,0.0,71,0,431055,5475550
3682,Lil Uzi Vert ,Two®,17,1.0,9,0,997179,5475481
3683,Jonathan Groff ,You'll Be Back,20,0.0,81,0,331717,5468823
3684,NF ,LOST,18,0.0,22,0,593110,5465038
3685,Coolio ,Gangsta's Paradise,17,1.0,6,0,862057,5464429
3686,Chris Young ,I'm Comin' Over,58,0.0,136,0,121560,5461650
3687,"Tyler, The Creator ","Come On, Let's Go",19,0.0,39,0,457176,5454835
3688,One Direction ,Love You Goodbye,27,0.0,33,0,426068,5432989
3689,J Balvin ,Otra Noche Sin Ti,20,0.0,57,0,559601,5432011
3690,Billie Eilish ,The 30th,15,0.0,22,0,605093,5422895
3691,Luke Combs ,Doin' This,15,0.0,20,0,609323,5420634
3692,Huncho Jack ,Motorcycle Patches,18,1.0,9,0,963544,5400148
3693,Bad Bunny ,Que Malo,13,0.0,30,0,773288,5390727
3694,Nicki Minaj ,Bussin,15,1.0,10,0,763327,5389017
3695,Twenty One Pilots ,Morph,14,0.0,22,0,896893,5384268
3696,Drake ,You & The 6,38,0.0,28,0,292710,5375819
3697,Eminem ,Lock It Up,13,0.0,37,0,882387,5373177
3698,Ski Mask The Slump God ,OOGA BOOGA!,17,0.0,87,0,379971,5362006
3699,SZA ,The Other Side (from Trolls World Tour),15,0.0,33,0,686442,5357682
3700,Justin Bieber ,Home To Mama,63,0.0,83,0,109483,5353590
3701,A$AP Rocky ,Lord Pretty Flacko Jodye 2 (LPFJ2),40,0.0,16,0,348869,5348304
3702,XXXTENTACION ,One Minute,9,1.0,6,0,1541329,5347255
3703,Big Sean ,Owe Me,19,0.0,30,0,499194,5340352
3704,Katy Perry ,Harleys In Hawaii,18,0.0,38,0,530375,5336733
3705,Kygo ,Kids in Love,20,0.0,34,0,578957,5336676
3706,Walker Hayes ,You Broke Up with Me,27,0.0,152,0,219479,5334215
3707,Kid Cudi ,Dive,8,0.0,21,0,1598355,5332813
3708,Lana Del Rey ,Summer Bummer,21,0.0,51,0,446610,5329147
3709,Tory Lanez ,B.I.D,23,0.0,94,0,331573,5325306
3710,Yo Gotti ,Castro,34,0.0,141,0,181835,5324558
3711,The Kid LAROI ,TRAGIC,18,0.0,25,0,561096,5323672
3712,Frank Ocean ,Thinkin Bout You,62,0.0,86,0,224213,5321713
3713,Travis Scott ,The Plan,13,0.0,20,0,664963,5320660
3714,Eric Church ,Talladega,81,0.0,130,0,79587,5316760
3715,Ed Sheeran ,BLOW,16,0.0,33,0,609126,5313921
3716,OneRepublic ,Run,24,0.0,86,0,320926,5303570
3717,Mac Miller ,What's the Use?,16,0.0,26,0,694522,5301683
3718,5 Seconds of Summer ,She Looks So Perfect,72,0.0,37,0,129793,5300992
3719,Anuel AA ,Reggaetonera,15,0.0,32,0,578655,5298391
3720,Van Morrison ,Brown Eyed Girl,20,0.0,40,0,415861,5295762
3721,Bad Bunny ,Está Cabrón Ser Yo,13,0.0,37,0,697786,5287518
3722,Taylor Swift ,This Love (Taylor’s Version),9,1.0,8,0,1762459,5281749
3723,Future ,LOVE YOU BETTER,12,0.0,11,0,1020136,5278444
3724,XXXTENTACION ,Floor 555,15,0.0,29,0,715038,5277348
3725,Polo G ,DND,20,0.0,55,0,371597,5271253
3726,Kid Cudi ,Mr. Solo Dolo III,8,0.0,22,0,1512093,5269192
3727,Jax Jones ,Breathe,23,0.0,122,0,273476,5263555
3728,The Weeknd ,Reminder  Remix,24,0.0,64,0,319840,5260581
3729,Lil Yachty ,she ready,21,0.0,64,0,487860,5258656
3730,Nipsey Hussle ,Last Time That I Checc'd,16,0.0,33,0,600413,5257779
3731,Frank Ocean ,Nikes,27,0.0,59,0,308013,5256026
3732,Rihanna ,Disturbia,13,0.0,24,0,772629,5252376
3733,Sam Smith ,My Oasis,21,0.0,53,0,491878,5251099
3734,Luke Bryan ,I See You,68,0.0,111,0,91713,5246285
3735,Lil Baby ,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),14,0.0,16,0,1043244,5238288
